coments,label
Los cortes de agua en verano afectan especialmente a ancianos,criterio_general
La instalación de tanques elevados fue una solución inteligente,criterio_general
Las facturas de agua no reflejan los días sin suministro,criterio_general
Los trabajadores de acueducto merecen mejor equipamiento,criterio_general
La contaminación de pozos artesianos es un problema creciente,criterio_general
Las comunidades deberían organizarse para limpiar cisternas,criterio_general
El agua potable es un derecho que no llega a todos por igual,criterio_general
"Denuncio fuga masiva en acueducto de Matanzas que lleva 2 meses sin reparar, desperdiciando millones de litros",denuncia
Reporto que camiones cisterna de La Habana cobran 500 CUP por servicio que debería ser gratuito,denuncia
Exijo investigación sobre tuberías de PVC de baja calidad instaladas en reparto Eléctrico que se rompen semanalmente,denuncia
Denuncio que empleados de Acueducto piden 'colaboraciones' para reparar bombas en Güines,denuncia
Reporto contaminación por aguas albañales en pozo de Bejucal que abastece a 300 familias,denuncia
Denuncio venta ilegal de agua potable de pipas estatales a negocios privados,denuncia
Exijo acción contra vertedero en Arroyo Naranjo que contamina fuentes subterráneas,denuncia
Denuncio que medidores en Alamar registran el doble del consumo real y la empresa no responde,denuncia
Reporto desvío de químicos para potabilización hacia piscinas de hoteles en Varadero,denuncia
Denuncio que en Cienfuegos priorizan suministro a zonas turísticas dejando sin agua a hospitales,denuncia
¿Por qué hay tantas fugas en mi calle y nadie las repara?,queja
Reclamo que cortan el agua sin avisar y pasamos días sin servicio.,queja
¿Cuándo van a solucionar la baja presión? El agua no llega al 3er piso.,queja
Queja porque el agua sale turbia y no es apta para consumo.,queja
¿Por qué no hay mantenimiento preventivo? Siempre es reactivo cuando ya hay un problema grave.,queja
¿Por qué el agua huele a azufre en toda la zona de El Cerro?,queja
Reclamo que las pipas no pasan por barrios periféricos durante sequías,queja
Denuncio robo de tuberías de cobre en Arroyo Naranjo que deja sin agua a 300 familias,queja
¿Cuándo sustituirán las tuberías coloniales de Centro Habana?,queja
Queja porque cobran multas por fugas que son responsabilidad de Acueducto,queja
Propongo instalar medidores digitales para detectar fugas ocultas,sugerencia
Sugiero crear brigadas juveniles para mantenimiento de acueductos,sugerencia
¿Podrían implementar sistemas de riego por goteo en zonas agrícolas?,sugerencia
Recomiendo plantas desalinizadoras en zonas costeras con sequía,sugerencia
Sería útil educar en escuelas sobre conservación de agua con talleres prácticos,sugerencia
Propongo reutilizar aguas residuales tratadas para limpieza urbana,sugerencia
Sugiero modernizar la red hidráulica de Centro Habana con ayuda internacional,sugerencia
¿Podrían crear un sistema de reporte de fugas vía WhatsApp?,sugerencia
Recomiendo llaves de paso comunitarias para controlar pérdidas,sugerencia
Sería bueno captar agua de lluvia en instituciones estatales,sugerencia
¿Cuál es el límite de retiro diario en cajeros automáticos?,pregunta
¿Cómo puedo activar mi tarjeta magnética nueva?,pregunta
¿Por qué no me aparece el depósito que me hicieron en mi cuenta?,pregunta
¿Qué documentos necesito para abrir una cuenta en MLC?,pregunta
¿Cómo transfiero dinero desde mi cuenta a otra persona?,pregunta
Los trámites bancarios en Cuba son burocráticos y lentos.,criterio_general
Los cajeros automáticos a menudo se quedan sin efectivo.,criterio_general
"La app de Transfermóvil es útil, pero necesita mejoras.",criterio_general
Las comisiones por transferencias internacionales son altas.,criterio_general
El horario de atención en bancos es demasiado reducido.,criterio_general
Denuncio que el Banco Metropolitano bloqueó mi cuenta sin explicación y retiene mis fondos.,denuncia
Reporto que cajeros automáticos en Santa Clara dispensan billetes falsos.,denuncia
Denuncio cobro de comisiones ilegales en transferencias internacionales en el BCC.,denuncia
Exijo investigación por demora deliberada en aprobar créditos hipotecarios a familias necesitadas.,denuncia
Denuncio que empleados del banco filtran datos de clientes a estafadores.,denuncia
Estoy cansado de las largas colas en los bancos por falta de organización,queja
Es indignante que los cajeros automáticos siempre estén sin efectivo los fines de semana,queja
Me tienen harto con los trámites interminables para una simple transferencia,queja
"Las comisiones bancarias son abusivas, especialmente para los pensionados",queja
Es frustrante que la aplicación móvil falle justo cuando más la necesito,queja
Propongo extender el horario de atención en bancos hasta las 7pm para quienes trabajan de día,sugerencia
Sería útil implementar cajeros automáticos que dispensen tanto CUP como MLC según necesidad del cliente,sugerencia
Sugiero crear videollamadas con asesores bancarios para evitar desplazamientos innecesarios,sugerencia
Recomiendo cursos de educación financiera básica en las sucursales para adultos mayores,sugerencia
Propongo un sistema de alertas por SMS para movimientos bancarios y prevenir fraudes,sugerencia
¿Cuál es el límite diario para transferencias en MLC desde Transfermóvil,pregunta
Saben si ya está operativo el nuevo cajero automático en 3ra y 70,pregunta
Qué bancos cubanos permiten recibir transferencias desde Europa directamente,pregunta
¿Es posible abrir una cuenta en dólares americanos siendo residente permanente,pregunta
Cómo bloqueo mi tarjeta magnética si la perdí pero no tengo saldo,pregunta
¿Hay que llevar algún documento especial para retirar más de 5000 CUP en efectivo,pregunta
Las transferencias entre cuentas propias en diferentes bancos tienen comisión,pregunta
¿Qué pasa si no actualizo mis datos personales en el banco antes del vencimiento,pregunta
Existe algún horario con menos colas para hacer trámites en el BPA,pregunta
¿Dónde puedo cambiar billetes grandes de CUP por denominaciones menores sin comisión,pregunta
La app de Transfermóvil es práctica pero necesita más estabilidad,criterio_general
Los cajeros automáticos frecuentemente están sin efectivo,criterio_general
Las comisiones por transferencias internacionales son excesivas,criterio_general
El horario de atención bancaria no se ajusta a quienes trabajan,criterio_general
La banca en línea ha agilizado muchos trámites burocráticos,criterio_general
Los requisitos para créditos hipotecarios son casi imposibles de cumplir,criterio_general
La seguridad en sucursales bancarias necesita mejorar,criterio_general
La demora en aprobar préstamos personales frena el emprendimiento,criterio_general
Los cursos de educación financiera deberían ser más accesibles,criterio_general
La atención al cliente en ventanilla suele ser amable pero lenta,criterio_general
Denuncio fraude en Banco Metropolitano: cobran comisiones del 5% por depósitos en MLC no establecidas en normativas,denuncia
Reporto robo de identidad en cajeros de 3ra y 70: clonan tarjetas al ingresar PIN bajo amenaza,denuncia
Exijo investigación sobre préstamos aprobados a funcionarios sin garantías mientras ciudadanos cumplen requisitos son rechazados,denuncia
Denuncio que empleados del BPA filtran información de cuentas en MLC a estafadores,denuncia
Reporto venta ilegal de dólares en ventanillas del BCC a precio superior al oficial,denuncia
Denuncio bloqueo arbitrario de cuentas de trabajadores por cuenta propia sin justificación,denuncia
Exijo acción contra cajeros automáticos que dispensan billetes falsos en sucursal de Miramar,denuncia
Denuncio cobro de 'tarifas express' por trámites que según normativa son gratuitos,denuncia
Reporto desvío de fondos para créditos agrícolas hacia cuentas personales en Banco de Crédito,denuncia
Denuncio demora premeditada en transferencias internacionales para cobrar intereses adicionales,denuncia
¿Por qué las transferencias demoran días en procesarse?,queja
Reclamo que los cajeros siempre están fuera de servicio.,queja
¿Cuándo van a mejorar la app de Transfermóvil? Siempre se cae.,queja
Queja porque cobran comisiones altísimas por operaciones básicas.,queja
¿Por qué no hay atención al cliente eficiente? Las colas son eternas.,queja
¿Por qué no permiten abrir cuentas en MLC a trabajadores por cuenta propia?,queja
Reclamo que las transferencias internacionales tardan 3 meses en llegar,queja
Denuncio cobro de comisiones no autorizadas en cuentas de ahorro,queja
¿Cuándo habrá cajeros que funcionen 24/7?,queja
Queja porque el banco no acepta dólares en efectivo pero sí en depósitos,queja
¿A qué horas habrá corte de luz en Centro Habana hoy?,pregunta
¿Cómo puedo reportar un poste de luz que está a punto de caerse en mi barrio?,pregunta
¿Por qué la factura de este mes viene más alta si consumí menos kWh?,pregunta
¿Qué debo hacer si mi medidor eléctrico no funciona correctamente?,pregunta
¿Hay algún plan para mejorar el suministro eléctrico en mi zona?,pregunta
Los cortes de luz afectan demasiado a los pequeños negocios.,criterio_general
La factura eléctrica debería explicar mejor los cálculos.,criterio_general
En mi barrio ya estamos acostumbrados a los apagones diarios.,criterio_general
Las reparaciones de postes tardan semanas en completarse.,criterio_general
El horario de cortes programados no siempre se cumple.,criterio_general
Denuncio que el poste de luz en calle 23 y M está a punto de caerse y nadie lo repara.,denuncia
Reporto fraude en mi factura eléctrica: cobran el doble de mi consumo real.,denuncia
"Denuncio que los apagones en mi zona superan las 12 horas diarias, violando lo establecido.",denuncia
Exijo investigación por el robo de cables eléctricos en Centro Habana que dejó sin luz a 3 edificios.,denuncia
Denuncio que el personal de UNESA solicitó soborno para reparar mi medidor dañado.,denuncia
"Estamos hartos de los apagones de 8 horas diarias en pleno verano, es insoportable",queja
"La factura de la luz no coincide con nuestro consumo real, siempre viene inflada",queja
Llevo 3 semanas reportando un cable pelado en mi calle y nadie viene a repararlo,queja
Es indignante que haya zonas con estabilidad eléctrica mientras otras sufren cortes constantes,queja
Los generadores de los hospitales siempre están rotos cuando más se necesitan,queja
Propongo crear un sistema de alertas SMS para informar sobre los cortes programados de electricidad,sugerencia
Sería bueno implementar talleres comunitarios sobre cómo ahorrar energía para reducir los apagones,sugerencia
Sugiero priorizar la instalación de paneles solares en hospitales y centros vitales para emergencias,sugerencia
Recomiendo modernizar los medidores eléctricos para que muestren el consumo en tiempo real,sugerencia
Propongo crear brigadas de respuesta rápida para atender averías críticas en menos de 24 horas,sugerencia
¿Cómo solicitar un medidor nuevo en zona rural de Granma?,pregunta
¿Hay subsidios para familias de bajos ingresos en el pago de la electricidad?,pregunta
¿Qué hacer si el medidor registra consumo durante un apagón?,pregunta
¿Dónde reportar un poste de luz inclinado en la calle San Rafael?,pregunta
¿Cuál es el horario de atención en la oficina de Unión Eléctrica en Camagüey?,pregunta
¿Aceptan pagos de facturas en MLC en las oficinas de La Habana?,pregunta
¿Cómo verificar si mi factura incluye cobros de meses anteriores?,pregunta
¿Existen talleres para aprender a ahorrar energía en el hogar?,pregunta
¿Qué requisitos piden para instalar paneles solares en una vivienda?,pregunta
¿Por qué hubo un corte de luz no programado en Centro Habana ayer?,pregunta
"Ladrones, cobran por un servicio que solo existe en sus sueños.",crítica
¿Sus técnicos son tortugas? Llevan meses sin arreglar el transformador.,crítica
"Estafadores, mi factura subió más que la temperatura en el infierno.",crítica
¿Trabajan con velas? Parece que no saben qué es la electricidad.,crítica
"Incompetentes, ni un niño con un kit de ciencia haría peor trabajo.",crítica
"Sin alma, dejan a ancianos sin ventilación en pleno verano.",crítica
¿Sus postes son de papel? Se caen con una brisa.,crítica
"Corruptos, los inspectores piden ‘regalos’ para aprobar instalaciones.",crítica
"Mentirosos, anuncian cortes de una hora y son días enteros.",crítica
¿Sus cables los robaron de un museo? Parecen de la época de Edison.,crítica
Instalar medidores inteligentes que permitan monitorear consumo en tiempo real desde una app.,sugerencia
Crear programa de paneles solares comunitarios en zonas con apagones frecuentes.,sugerencia
Implementar bonos de descuento para hogares que reduzcan su consumo en un 20%.,sugerencia
"Desarrollar mapa interactivo de cortes programados y averías, actualizado en tiempo real.",sugerencia
Establecer talleres gratuitos para enseñar a reparar instalaciones eléctricas básicas.,sugerencia
Habilitar línea de emergencia 24/7 para reportar cables pelados o postes caídos.,sugerencia
Crear cooperativas de mantenimiento locales para reparar fallos menores sin depender de la empresa.,sugerencia
Instalar alumbrado público solar en carreteras y barrios oscuros.,sugerencia
Lanzar programa de reciclaje de baterías de inversores y paneles solares viejos.,sugerencia
Implementar facturación por correo electrónico para reducir papel y errores.,sugerencia
¿Cómo reportar un transformador que hace ruidos extraños en Arroyo Naranjo?,pregunta
¿Hay multas por conexiones ilegales a la red eléctrica?,pregunta
¿Dónde reclamo si el inspector dijo que mi instalación no cumple normas?,pregunta
¿La empresa ofrece préstamos para comprar sistemas de energía solar?,pregunta
¿Qué hacer si un árbol está tocando cables de alta tensión?,pregunta
¿Cómo solicitar un grupo electrógeno para un evento comunitario?,pregunta
¿Hay plan para modernizar la red eléctrica en Santiago de Cuba?,pregunta
¿Por qué mi factura subió un 200% sin cambio en el consumo?,pregunta
¿Dónde denunciar a un trabajador que pide 'regalos' para reparar fallos?,pregunta
¿A qué número llamar para reportar un incendio por cortocircuito?,pregunta
"Hijos de la oscuridad, ustedes son la razón por la que Cuba retrocede.",crítica
"Vagos, pasan más tiempo tomando café que arreglando fallos.",crítica
¿Sus medidores miden fantasmas? Cobran consumo que no existe.,crítica
"Criminales, los cables pelados matarán a alguien y ni les importa.",crítica
"Inútiles, un apagón los deja corriendo como gallinas sin cabeza.",crítica
¿Sus gerentes viven en una burbuja? No saben lo que es un apagón.,crítica
"Parásitos, viven del sudor del pueblo y no dan nada a cambio.",crítica
"Sinvergüenzas, culpan al bloqueo pero roban más que los yanquis.",crítica
¿Sus empleados son fantasmas? Nadie responde en emergencias.,crítica
"Traidores, priorizan hoteles turísticos y dejan al pueblo a oscuras.",crítica
Crear tarifas diferenciadas para horarios de bajo consumo (ej: madrugada).,sugerencia
Establecer centros de carga solar donde vecinos recarguen lámparas y dispositivos.,sugerencia
Habilitar pago de facturas en MLC con descuentos del 5% por pronto pago.,sugerencia
Desarrollar app de consejos para ahorrar energía con retos y premios simbólicos.,sugerencia
Instalar grupos electrógenos comunitarios en zonas rurales sin acceso estable.,sugerencia
Crear programa de auditorías energéticas gratuitas para hogares y negocios.,sugerencia
Implementar sistema de alertas SMS sobre cortes programados y duración estimada.,sugerencia
Establecer puntos de venta subsidiados de bombillos LED y reguladores de voltaje.,sugerencia
Habilitar microcréditos para familias que quieran instalar paneles solares.,sugerencia
Crear huertos solares comunitarios en terrenos baldíos para generar energía local.,sugerencia
¿Cuándo terminarán las reparaciones en el transformador de 10 y 42,pregunta
Cómo reporto un cable de alta tensión pelado en mi azotea,pregunta
El medidor digital nuevo viene con instrucciones en español,pregunta
¿Siguen dando bonificaciones por ahorro energético este trimestre,pregunta
Qué documentos necesito para solicitar el cambio de tarifa residencial a comercial,pregunta
¿Es obligatorio el uso de reguladores de voltaje para equipos médicos,pregunta
Hay algún teléfono directo para emergencias eléctricas en Marianao,pregunta
¿Por qué mi factura muestra consumo en horas de apagón,pregunta
Las lámparas LED que distribuyeron tienen garantía,pregunta
¿Dónde reciben las quejas por cortes no programados en Arroyo Naranjo,pregunta
Los apagones frecuentes están dañando los electrodomésticos de muchas familias,criterio_general
La instalación de paneles solares en zonas rurales fue un acierto,criterio_general
Las facturas eléctricas deberían mostrar un desglose más detallado,criterio_general
El mantenimiento preventivo de redes eléctricas evitaría muchos problemas,criterio_general
Es admirable cómo los técnicos trabajan en condiciones tan difíciles,criterio_general
La población necesita más educación sobre ahorro energético,criterio_general
Los generadores en hospitales deberían tener combustible garantizado,criterio_general
La sustitución de bombillas incandescentes por LED fue positiva,criterio_general
Los cortes programados deberían anunciarse con mayor anticipación,criterio_general
La corrosión en postes eléctricos es un problema de seguridad pública,criterio_general
"Denuncio robo sistemático de cables de cobre en el reparto La Corbata, dejando a 200 familias sin luz por 5 días",denuncia
Reporto fraude en facturación: cobran 'consumo estimado' a 50 viviendas en Arroyo Naranjo durante apagones de 12 horas,denuncia
Exijo investigación por venta ilegal de transformadores nuevos en el mercado negro por empleados de UNESA,denuncia
Denuncio que técnicos de la oficina de 10 y 41 solicitan 'regalos' para priorizar reparaciones urgentes,denuncia
Reporto instalación defectuosa de medidores digitales en Centro Habana que inflan consumos en un 30%,denuncia
Denuncio acaparamiento de generadores eléctricos por directivos de empresas estatales para uso personal,denuncia
Exijo acción contra el taller clandestino en San Agustín que altera medidores eléctricos por 1000 CUP,denuncia
Denuncio desvío de paneles solares destinados a consultorios médicos hacia residencias particulares en Tarará,denuncia
"Reporto negligencia en la poda de árboles cerca de cables de alta tensión en Boyeros, causando incendios",denuncia
Denuncio cobro ilegal por 'derecho de conexión' en zonas rurales de Mayabeque donde el servicio es gratuito,denuncia
¿Por qué hay apagones de 8 horas sin previo aviso? Necesitamos un horario real.,queja
Reclamo que mi zona tiene cortes diarios y nadie da explicaciones.,queja
"La factura llegó el doble de lo normal, ¿cómo es posible si usé menos energía?",queja
¿Por qué no arreglan los postes de luz caídos? Llevan meses así y es un peligro.,queja
"Queja por la mala atención al cliente, nunca resuelven las quejas por teléfono.",queja
Denuncio que los transformadores son de 1950 y por eso se queman constantemente,queja
¿Por qué en Varadero no hay apagones pero en el interior sí?,queja
Reclamo que mi medidor marca consumo fantasma desde hace 3 meses,queja
¿Cuándo instalarán paneles solares en zonas rurales? Llevamos décadas esperando,queja
Queja por la corrosión en los cables de alta tensión - es un peligro público,queja
Propongo instalar paneles solares en techos de fábricas estatales,sugerencia
Sugiero crear un sistema de alertas SMS antes de apagones programados,sugerencia
¿Podrían priorizar hospitales y centros de salud en los planes de electricidad?,sugerencia
Recomiendo sustituir transformadores obsoletos por modelos chinos más eficientes,sugerencia
Sería útil tener talleres locales para reparar electrodomésticos dañados por voltajes,sugerencia
Propongo incentivos fiscales para quienes instalen energías renovables en casa,sugerencia
Sugiero mapear digitalmente todas las averías para priorizar reparaciones,sugerencia
¿Podrían crear cooperativas especializadas en mantenimiento eléctrico?,sugerencia
Recomiendo usar drones para inspeccionar líneas de alta tensión,sugerencia
Sería bueno educar en escuelas sobre ahorro energético con prácticas reales,sugerencia
¿Van a reponer arroz en la tienda de MLC de 10 y 23?,pregunta
¿Aceptan tarjeta de crédito internacional en las tiendas Caribe?,pregunta
¿Por qué no hay pollo en la TRD de Miramar hoy?,pregunta
¿Cuál es el horario de atención de la tienda de MLC en Santiago?,pregunta
¿Puedo comprar medicamentos en MLC sin receta?,pregunta
Las tiendas en MLC tienen precios más altos que el mercado informal.,criterio_general
La variedad de productos en las TRD ha mejorado este año.,criterio_general
Es injusto que algunos productos solo se vendan en MLC.,criterio_general
Las colas en tiendas Caribe son eternas por falta de organización.,criterio_general
Los empleados de las tiendas en MLC deberían ser más amables.,criterio_general
Reporto venta ilegal de productos de las tiendas MLC a revendedores por empleados corruptos.,denuncia
Denuncio que en la TRD de Miramar venden productos vencidos en lotes de leche en polvo.,denuncia
Exijo acción ante el acoso a clientes por parte de seguridad en tiendas Caribe.,denuncia
Denuncio desvío de productos básicos a mercados negros por trabajadores de tiendas estatales.,denuncia
Reporto que en la tienda de MLC de 10 y 23 exigen compras mínimas no establecidas.,denuncia
Estoy harto de hacer colas de horas para que cuando llegue mi turno ya no quede nada,queja
Los precios en las tiendas MLC son excesivos comparados con la calidad de los productos,queja
Es indignante que siempre atiendan primero a los conocidos en las tiendas estatales,queja
Me tienen cansado con los productos vencidos que venden en las TRD,queja
Es frustrante que los artículos de primera necesidad siempre estén agotados,queja
Sugiero implementar venta online en tiendas MLC con entrega a domicilio para evitar aglomeraciones,sugerencia
Sería bueno crear un sistema de reserva de productos básicos por teléfono para personas mayores,sugerencia
Propongo establecer horarios exclusivos para embarazadas y discapacitados en las TRD,sugerencia
Recomiendo mejorar el control de calidad en los productos alimenticios que se venden en las tiendas,sugerencia
Sugiero implementar cajas rápidas para compras menores a 5 productos y agilizar las colas,sugerencia
¿Van a recibir harina de trigo en la tienda de MLC de Miramar esta semana,pregunta
A qué hora forman la cola para la venta de pollo en la TRD de Centro Habana,pregunta
Es cierto que necesitas carnet de abastecimiento para comprar detergente ahora,pregunta
¿Aceptan tarjetas de crédito extranjeras en las tiendas Caribe,pregunta
Tienen planificado abrir más tiendas que vendan en CUP y MLC simultáneamente,pregunta
¿Por qué nunca hay huevos cuando llego al final de la cola,pregunta
Los precios de los electrodomésticos incluyen instalación,pregunta
¿Dónde puedo reclamar por un paquete de leche en polvo vencido que compré ayer,pregunta
Existe algún sistema de reserva para productos de primera necesidad para adultos mayores,pregunta
¿Qué documentos necesito para comprar en MLC siendo extranjero residente,pregunta
Las tiendas en MLC tienen mejores productos pero precios elevados,criterio_general
La organización en las colas de las TRD podría ser mucho mejor,criterio_general
Es injusto que productos básicos solo estén disponibles en MLC,criterio_general
La variedad en tiendas Caribe ha mejorado notablemente,criterio_general
Los empleados de tiendas estatales deberían recibir mejor capacitación,criterio_general
La venta de productos vencidos en tiendas TRD es inaceptable,criterio_general
El sistema de venta por números agiliza pero genera desorden,criterio_general
Las tiendas agropecuarias tienen mejor surtido que las urbanas,criterio_general
La falta de sombra en colas exteriores es un problema de salud,criterio_general
Los precios en tiendas minoristas no coinciden con los salarios,criterio_general
Denuncio venta de leche en polvo vencida en TRD de 70 y 3ra con etiquetas adulteradas,denuncia
Reporto red de corrupción en tienda MLC de Miramar: empleados reservan productos para revendedores,denuncia
Exijo investigación sobre desvío de 500 latas de aceite destinadas a tiendas CUP hacia mercado negro,denuncia
Denuncio que en Caribe de Obispo cobran precios superiores a los exhibidos en estantes,denuncia
Reporto venta ilegal de medicamentos bajo mesa en bodega de San Miguel del Padrón,denuncia
Denuncio acaparamiento de pollo por administradores de Tiendas Universo para venta a restaurantes privados,denuncia
Exijo acción contra pesaje adulterado en placita de 19 y B: 900 gramos registrados como 1kg,denuncia
Denuncio robo sistemático de productos importados en almacén principal de CIMEX,denuncia
Reporto que empleados de Panamericana exigen compras mínimas no reglamentadas para atender,denuncia
Denuncio venta de ropa donada como nueva en tienda de La Rampa,denuncia
¿Por qué los productos básicos siempre están agotados?,queja
Reclamo que los precios suben pero la calidad sigue siendo mala.,queja
¿Cuándo van a tener stock estable de alimentos? Es frustrante hacer cola para nada.,queja
Queja porque venden productos vencidos y no aceptan devoluciones.,queja
¿Por qué en las tiendas en MLC hay más variedad que en las de pesos cubanos?,queja
¿Por qué el pan de la panadería estatal viene crudo constantemente?,queja
Reclamo que en las shoppings venden productos con precios en USD pero cobran en EUR,queja
Denuncio que los trabajadores de TRD esconden productos para venderlos después,queja
¿Cuándo dejarán de vender leche en polvo con gorgojos?,queja
Queja formal: en las tiendas MLC no aceptan tarjetas de bancos cubanos,queja
Propongo crear mercados mayoristas para trabajadores por cuenta propia,sugerencia
Sugiero implementar venta online de productos básicos con entrega a domicilio,sugerencia
¿Podrían abrir tiendas MLC con secciones exclusivas para productos nacionales?,sugerencia
Recomiendo sistemas de reserva de productos agotados vía SMS,sugerencia
Sería útil tener códigos QR en productos para verr origen y fecha de caducidad,sugerencia
Propongo incentivar la producción local de alimentos con menos importaciones,sugerencia
Sugiero crear app para comparar precios entre tiendas estatales y privadas,sugerencia
¿Podrían habilitar pagos con tarjeta magnética en todas las TRD?,sugerencia
Recomiendo mejorar el embalaje de productos lácteos y cárnicos,sugerencia
Sería bueno tener horarios especiales para adultos mayores en supermercados,sugerencia
¿Cómo denuncio un problema con la recogida de basura en mi barrio?,pregunta
¿Dónde puedo comprar gas licuado para la cocina?,pregunta
¿Por qué no hay pan en la bodega hoy?,pregunta
¿Cómo puedo contactar al delegado de mi zona?,pregunta
¿Qué hago si mi carné de identidad se perdió?,pregunta
La recogida de basura es irregular en los municipios periféricos.,criterio_general
El gas licuado es difícil de conseguir fuera de La Habana.,criterio_general
Las bodegas no cubren la demanda básica de alimentos.,criterio_general
Los delegados deberían escuchar más a la comunidad.,criterio_general
Tramitar un carné de identidad nuevo toma demasiado tiempo.,criterio_general
Denuncio acaparamiento de gas licuado por trabajadores estatales para revender en el mercado negro.,denuncia
Reporto colusión entre inspectores y dueños de bodegas para desviar productos regulados.,denuncia
Exijo investigación por la venta ilegal de carnés de identidad en oficinas del MININT.,denuncia
Denuncio que delegados priorizan reparaciones de calles en zonas donde residen familiares.,denuncia
Reporto malversación de fondos para recogida de basura en Artemisa: pagaron servicios nunca realizados.,denuncia
Estoy harto de la basura acumulada en las calles por falta de recogida,queja
Es indignante que el gas licuado sea tan difícil de conseguir,queja
Me tienen cansado con los constantes aumentos de precios en los mercados,queja
Es inaceptable la burocracia para trámites simples como el carné de identidad,queja
Estoy frustrado porque los delegados no resuelven los problemas de la comunidad,queja
Propongo implementar puntos de reciclaje en cada cuadra con incentivos por materiales entregados,sugerencia
"Sería útil crear una app para reportar problemas comunitarios (basura, fugas) con seguimiento público",sugerencia
Sugiero horarios diferenciados para compra de gas licuado según terminación de cédula de identidad,sugerencia
Recomiendo crear mercados agrícolas móviles que visiten barrios sin acceso a placitas,sugerencia
Propongo un programa de mantenimiento preventivo de alcantarillados antes de la temporada de lluvias,sugerencia
¿Dónde puedo comprar arroz en moneda nacional (CUP) en Centro Habana?,pregunta
¿La bodega de mi barrio está obligada a vender según la libreta de abastecimiento?,pregunta
¿Cómo denunciar un establecimiento que vende productos con precios inflados?,pregunta
¿Qué días llega la leche en polvo a la tienda de Marianao?,pregunta
¿Dónde reclamo si la carne distribuida por la libreta estaba en mal estado?,pregunta
Las ferias agropecuarias en Plaza Vieja son una buena opción para comprar viandas frescas.,elogio
"La libreta de abastecimiento garantiza lo mínimo, pero no alcanza para una familia.",neutral
Los mercados de artesanías como San José en La Habana apoyan a emprendedores locales.,elogio
"Las tiendas de CUP tienen precios bajos, pero casi siempre están vacías.",neutral
Las cooperativas agrícolas han mejorado la oferta de vegetales en ciudades.,elogio
"El hotel Meliá Cohiba cobra 150 MLC por una noche, pero el agua caliente no funciona.",crítica
El tour a Viñales no incluyó la cueva del Indio como prometieron. Estafa.,crítica
El restaurante La Bodeguita del Medio sirvió mojito aguado a 5 MLC. ¿Esto es tradición?,crítica
El guía turístico de Trinidad nos abandonó a mitad del recorrido. ¿Dónde reclamo?,crítica
El auto clásico de alquiler se descompuso en pleno Malecón. ¿Y mi tour?,crítica
El pollo de la libreta viene podrido. ¿Es esto comida o veneno?,crítica
